t,EGT_SEL,FLIGHT_MOD,FMV_SEL,HPTC_SEL,LPTC_SEL,N1_SEL,N2_ACTSEL,OIL_P,OIL_TEMP,PS3_SEL,PT2_SEL,P0_SEL,TAT,TBV_SEL,TRA_SEL,T25_SEL,T3_SEL,VBV_SEL,VIB_CN1,VIB_CN2,VIB_TN1,VIB_TN2,VSV_SEL,WFM_SEL,XM
datenum,deg_C,_,_,%,%,%,%_RPM,psi,_,psi,mb,psi,deg_C,%,DEG,_,_,DEG,_,_,_,_,DEG,lb/h,mach
15/09/2011 14:25:58.125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15/09/2011 14:25:58.375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15/09/2011 14:25:58.625,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15/09/2011 14:25:58.875,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7679.98,0.15
15/09/2011 14:25:59.125,NaN,NaN,NaN,NaN,NaN,0,0,647.998,NaN,575.982,NaN,NaN,26.9688,0,0,NaN,NaN,0,0,0,0,0,0,4607.86,0.15
15/09/2011 14:25:59.375,167.995,NaN,NaN,0,NaN,0,0,599.998,NaN,191.984,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,1535.87,0.15
15/09/2011 14:25:59.625,119.997,NaN,NaN,0,NaN,0,0,551.998,746.124,0,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:25:59.875,71.998,NaN,NaN,0,NaN,0,0,503.999,702.374,0,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:00.125,24.0041,NaN,NaN,0,NaN,0,0,456.003,658.629,0,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:00.375,0.00234327,NaN,NaN,0,NaN,0,0,408.003,614.879,0,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:00.625,1.08032e-007,NaN,NaN,0,NaN,0,0,360.004,571.129,0,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:00.875,3.12514e-012,NaN,NaN,0,NaN,0,0,312.004,527.379,0,NaN,NaN,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:01.125,0,NaN,NaN,0,NaN,0,0,263.998,483.624,0,0,0,27,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:01.375,72.0006,NaN,NaN,0,0,0,0,215.998,439.874,0,0,0,26.9687,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:01.625,215.996,NaN,NaN,0,0,0,0,167.998,396.124,192.007,0,0,26.9062,0,0,NaN,NaN,0,0,0,0,0,0,1536.05,0.15
15/09/2011 14:26:01.875,359.977,NaN,NaN,0,0,0,0,120.003,352.378,575.973,0,0,26.8438,0,0,NaN,NaN,0,0,0,0,0,0,4608.02,0.15
15/09/2011 14:26:02.125,503.972,NaN,NaN,0,0,0,0,72.0034,308.629,959.971,0,0,26.7813,0,0,NaN,NaN,0,0,0,0,0,0,7680,0.15
15/09/2011 14:26:02.375,527.981,NaN,NaN,0,0,0,0,24.0036,264.879,1343.97,0,0,26.75,0,0,NaN,NaN,0,0,0,0,0,0,10752,0.15
15/09/2011 14:26:02.625,431.995,NaN,NaN,0,0,0,0,0.00221305,221.129,1343.99,0,0,26.75,0,0,NaN,NaN,0,0,0,0,0,0,10751.9,0.15
15/09/2011 14:26:02.875,335.984,1,0,0,0,0,0,0,177.374,959.98,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,7679.84,0.15
15/09/2011 14:26:03.125,239.986,1,0,0,0,0,0,0,133.624,575.982,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,4607.86,0.15
15/09/2011 14:26:03.375,167.991,1,0,0,0,0,0,0,89.8743,191.984,0,0,26.7813,0,0,-128,0,0,0,0,0,0,0,1535.87,0.15
15/09/2011 14:26:03.625,119.994,1,0,0,0,0,0,0,68,0,0,0,26.8438,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:03.875,72.0011,1,0,0,0,0,0,0,68,0,0,0,26.9062,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:04.125,24.0035,1,0,0,0,0,0,0,68,0,0,0,26.9687,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:04.375,0.00234322,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:04.625,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:04.875,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:05.125,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:05.375,72.0006,1,0,0,0,0,0,0,68,0,0,0,26.9687,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:05.625,215.982,1,0,0,0,0,0,0,68,191.991,0,0,26.9063,0,0,-128,0,0,0,0,0,0,0,1536.05,0.15
15/09/2011 14:26:05.875,359.977,1,0,0,0,0,0,0,68,575.973,0,0,26.8438,0,0,-128,0,0,0,0,0,0,0,4608.02,0.15
15/09/2011 14:26:06.125,503.972,1,0,0,0,0,0,0,68,959.971,0,0,26.7813,0,0,-128,0,0,0,0,0,0,0,7680,0.15
15/09/2011 14:26:06.375,527.981,1,0,0,0,0,0,0,68,1343.97,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,10752,0.15
15/09/2011 14:26:06.625,431.982,1,0,0,0,0,0,0,68,1343.98,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,10751.8,0.15
15/09/2011 14:26:06.875,335.984,1,0,0,0,0,0,0,68,959.98,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,7679.84,0.15
15/09/2011 14:26:07.125,239.986,1,0,0,0,0,0,0,68,575.982,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,4607.86,0.15
15/09/2011 14:26:07.375,167.991,1,0,0,0,0,0,0,68,191.984,0,0,26.7813,0,0,-128,0,0,0,0,0,0,0,1535.87,0.15
15/09/2011 14:26:07.625,119.999,1,0,0,0,0,0,0,68,0.0156194,0,0,26.8437,0,0,-128,0,0,0,0,0,0,0,0.00833082,0.15
15/09/2011 14:26:07.875,72.0011,1,0,0,0,0,0,0,68,5.93039e-007,0,0,26.9062,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:08.125,24.0035,1,0,0,0,0,0,0,68,1.39389e-011,0,0,26.9687,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:08.375,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:08.625,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:08.875,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:09.125,0,1,0,0,0,0,0,0,68,0,0,0,27,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:09.375,71.9935,1,0,0,0,0,0,0,68,0,0,0,26.9688,0,0,-128,0,0,0,0,0,0,0,0,0.15
15/09/2011 14:26:09.625,215.982,1,0,0,0,0,0,0,68,191.991,0,0,26.9063,0,0,-128,0,0,0,0,0,0,0,1536.05,0.15
15/09/2011 14:26:09.875,359.977,1,0,0,0,0,0,0,68,575.973,0,0,26.8438,0,0,-128,0,0,0,0,0,0,0,4608.02,0.15
15/09/2011 14:26:10.125,503.972,1,0,0,0,0,0,0,68,959.971,0,0,26.7813,0,0,-128,0,0,0,0,0,0,0,7680,0.15
15/09/2011 14:26:10.375,527.978,1,0,0,0,0,0,0,68,1344.02,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,10752.1,0.15
15/09/2011 14:26:10.625,431.978,1,0,0,0,0,0,24.0028,68,1343.98,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,10751.8,0.15
15/09/2011 14:26:10.875,335.977,1,0,0,0,0,0,72.0025,68,959.98,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,7679.84,0.15
15/09/2011 14:26:11.125,239.986,1,0,0,0,0,0,119.998,68,576.013,0,0,26.75,0,0,-128,0,0,0,0,0,0,0,4607.87,0.15
15/09/2011 14:26:11.375,167.989,1,0,0,0,0,0,167.998,68,192.015,0,0,26.7812,0,0,-128,0,0,0,0,0,0,0,1535.89,0.15
15/09/2011 14:26:11.625,119.991,1,0,0,0,0,0,215.997,65.8751,0.0156206,0,0,26.8437,0,0,-128,0,0,0,0,0,0,0,0.00833082,0.15
